2	81785	82482
2	130244	130940
2	168550	169247
3	9407	10104
3	32412	33109
2	54390	55415
2	21583	22587
2	95277	96281
2	116440	117444
2	154746	155750
2	144972	145457
2	176299	177553
2	202488	203693
1	2169756	2170224
1	2170224	2171119
1	3874504	3874972
1	3874972	3875867
1	4711803	4712271
1	4710908	4711803
1	3164891	3165149
1	3164029	3164891
3	12636	13844
2	94035	95003
2	117718	118686
2	156024	156992
2	243679	244647
2	34326	35030
2	41873	42577
2	97152	97445
2	153583	153876
2	96850	97077
2	153926	154177
2	25897	26301
2	71538	72884
2	178145	179491
2	181443	182846
